Model,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2
Ridge,9.79076748502601,7.720888043667137,0.9854184959492122,10.46088817297458,8.538493789783244,0.9779006201439836
Linear Regression,9.788898315370957,7.727000731099071,0.9854240629700333,10.481590584636487,8.558441885315247,0.9778130629184126
Lasso,9.940598349266068,7.866484265560611,0.9849687913984359,10.51237193671838,8.571136919259304,0.9776825585413851
Gradient Boosting,6.63297978738493,5.241920281040833,0.9933075336409213,14.707045038974993,11.789933768880154,0.956318875237348
Random Forest,6.911602322925659,5.05245017833002,0.9927334823479383,18.12997639168953,13.650268278114941,0.933619969902821
KNN,19.32306335233964,14.126220934765724,0.9432036005999092,21.087016420136553,16.121922541291994,0.9102006402457375
AdaBoost,20.952446479955448,17.071341549804075,0.9332212432996899,24.68741711411313,19.985062412973534,0.8769180756838918
ElasticNet,28.26287698167657,22.343568925684636,0.8784929196681645,24.774820021716515,19.083907254303075,0.8760450186744061
Decision Tree,0.0,0.0,1.0,25.214541783689658,20.046082404338826,0.8716058819675009
SVR,61.80720545059174,44.01898806623556,0.41890509879251336,53.018284045433084,37.35390856691988,0.43233214429362077
